job_id,job_title,company_name,company_rating,location,scraped_city,role_category,experience_raw,experience_min_yrs,experience_max_yrs
1,Data Scientist,Cisco,4.1,Bengaluru,Bangalore,Data Scientist,7-10 Yrs,7.0,10.0
2,Data Scientist,Caterpillar Inc,4.1,Bengaluru,Bangalore,Data Scientist,4-8 Yrs,4.0,8.0
3,Analytics Data Scientist,Foreign IT Consulting MNC,3.6,"Hyderabad, Chennai, Bengaluru",Bangalore,Data Scientist,4-9 Yrs,4.0,9.0
4,Data Scientist,Fortune 500 IT Services Company,3.6,"Mumbai, Bengaluru",Bangalore,Data Scientist,10-14 Yrs,0.0,0.0
5,Sr. Artificial Intelligence Engineer,Fortune 500 Product-based MNC,3.6,"Pune, Bengaluru",Bangalore,Data Scientist,5-10 Yrs,5.0,10.0
6,Data Scientist,Top Rated IT Enterprise,3.6,"Chennai, Bengaluru",Bangalore,Data Scientist,3-8 Yrs,3.0,8.0
7,Data Scientist,Leading IT Firm,3.6,"Chennai, Bengaluru",Bangalore,Data Scientist,5-10 Yrs,5.0,10.0
8,Advanced Data Scientist,Exxon Mobil Corporation,3.7,Bengaluru,Bangalore,Data Scientist,5-10 Yrs,5.0,10.0
9,"Data Scientist, Google Play, Product",Google,4.4,Bengaluru,Bangalore,Data Scientist,5-10 Yrs,5.0,10.0
10,Machine Learning Data Scientist,Hsbc,3.8,Bengaluru,Bangalore,Data Scientist,3-7 Yrs,3.0,7.0
11,Sr Data Scientist - Advanced Machine Learning,Target,4.0,Bengaluru,Bangalore,Data Scientist,4-9 Yrs,4.0,9.0
12,Data Scientist - Service Parts Supply Chain,Philips,3.8,Bengaluru,Bangalore,Data Scientist,10-15 Yrs,0.0,0.0
13,Data Scientist Cyber Threat Intelligence,A.P. Moller Maersk,3.9,Bengaluru,Bangalore,Data Scientist,5-10 Yrs,5.0,10.0
14,Data Scientist,EXL,3.6,"Hybrid - Gurugram, Bengaluru",Bangalore,Data Scientist,5-8 Yrs,5.0,8.0
15,Data Scientist,Maruti Suzuki,4.1,Bengaluru,Bangalore,Data Scientist,4-7 Yrs,4.0,7.0
16,"Staff Data Scientist, Ads Insights and Measurement",Google,4.4,Bengaluru,Bangalore,Data Scientist,8-13 Yrs,8.0,13.0
17,AI / ML Data Scientist I,Nielsen Sports,3.8,Bengaluru,Bangalore,Data Scientist,0-3 Yrs,0.0,3.0
18,Data Scientist,Genpact,3.6,"Hybrid - Hyderabad, Gurugram, Bengaluru",Bangalore,Data Scientist,8-12 Yrs,8.0,12.0
19,Marketing Data Scientist/Engineer,Wipro,3.6,"Hybrid - Noida, Kolkata, Bengaluru",Bangalore,Data Scientist,5-10 Yrs,5.0,10.0
20,Data Scientist-Artificial Intelligence,IBM,3.9,Bangalore Rural,Bangalore,Data Scientist,7-9 Yrs,7.0,9.0
21,Data Scientist,Alstom,3.7,Bengaluru,Bangalore,Data Scientist,7-12 Yrs,7.0,12.0
22,Data Scientist - Gen AI,Fractal Analytics,4.0,Bengaluru,Bangalore,Data Scientist,3-5 Yrs,3.0,5.0
23,Data Scientist - Predictive Intelligence (Sensor Fusion & Time Series),Pump Academy,4.1,Bengaluru(Old Airport Road),Bangalore,Data Scientist,8-12 Yrs,8.0,12.0
24,Data Scientist,Ecolab Global Services,3.4,Bengaluru,Bangalore,Data Scientist,3-5 Yrs,3.0,5.0
25,Data Scientist,Leading IT Service and Consulting Organization,3.6,"Hybrid - Gurugram, Bengaluru",Bangalore,Data Scientist,5-10 Yrs,5.0,10.0
26,Data Scientist I,Sparta Systems,4.1,Bengaluru,Bangalore,Data Scientist,0-5 Yrs,0.0,5.0
27,Hiring For data Scientist,Tech Mahindra,3.6,"Hybrid - Hyderabad, Pune, Bengaluru",Bangalore,Data Scientist,5-10 Yrs,5.0,10.0
28,Data Scientist-Artificial Intelligence,IBM,3.9,Bengaluru,Bangalore,Data Scientist,3-7 Yrs,3.0,7.0
29,Data Scientist,Hackajob,3.6,"Hybrid - Pune, Bengaluru",Bangalore,Data Scientist,2-7 Yrs,2.0,7.0
30,Data Scientist,Ltimindtree,3.6,Hybrid - Bengaluru,Bangalore,Data Scientist,6-11 Yrs,6.0,11.0
31,Data Scientist,VOLKSWAGEN GROUP DIGITAL SOLUTIONS PRIVATE LIMITED,3.9,"Pune, Gurugram, Bengaluru",Bangalore,Data Scientist,3-6 Yrs,3.0,6.0
32,Data Scientist,Comviva Technology,2.8,Hybrid - Bengaluru,Bangalore,Data Scientist,3-5 Yrs,3.0,5.0
33,Data Scientist GenAI / Machine Learning,Insight Global Technologies,3.5,Bengaluru,Bangalore,Data Scientist,5-10 Yrs,5.0,10.0
34,Data Scientist - Gen AI,Fractal Analytics,4.0,"Noida, Mumbai, Hyderabad, Pune, Chennai, Gurugram, Bengaluru",Bangalore,Data Scientist,3-5 Yrs,3.0,5.0
35,Data Scientist,KPI Partners,3.6,"Hybrid - Hyderabad, Pune, Bengaluru",Bangalore,Data Scientist,6-10 Yrs,6.0,10.0
36,"Data Scientist Time Series, Statistical Modelling & Azure Data Bricks",Capco,3.8,Bengaluru,Bangalore,Data Scientist,2-9 Yrs,2.0,9.0
37,Gen AI Data Scientist,Tata Consultancy Services,3.3,"Pune, Chennai, Bengaluru",Bangalore,Data Scientist,5-10 Yrs,5.0,10.0
38,"Data Scientist Time Series, Statistical Modelling & Azure Data Bricks",Capco,3.8,"Hyderabad, Pune, Chennai, Gurugram, Bengaluru",Bangalore,Data Scientist,2-9 Yrs,2.0,9.0
39,Data Scientist,Aon,3.8,Bengaluru,Bangalore,Data Scientist,5-9 Yrs,5.0,9.0
40,Data Scientist,Voya India,3.6,Bengaluru,Bangalore,Data Scientist,3-6 Yrs,3.0,6.0
41,AI Data Engineer/Scientist,Wipro,3.6,Remote,Bangalore,Data Scientist,4-8 Yrs,4.0,8.0
42,Walkin Drive | Bangalore | June 13 | Data Scientist,Tata Consultancy Services,3.3,Bengaluru,Bangalore,Data Scientist,13 Jun,13.0,8.0
43,Data Scientist,Tata Consultancy Services,3.3,"Hyderabad, Pune, Bengaluru",Bangalore,Data Scientist,6-10 Yrs,6.0,10.0
